,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
19,"FLU SHOT! YES OR NO?
Dr. Geier goes on to explain that flu is “the wrong thing to vaccinate against” because you ha… https://t.co/syHqU81rp7",FALSE,0,NA,3/3/2019 18:30,TRUE,NA,1102275023182520000,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",AskDeMarie,0,FALSE,FALSE,NA,NA
20,RT @DeepaDNanayakk1: Vaccinating our transplant recipients is so important! 5-Year Prospective Multicenter Evaluation of Influenza Infectio…,FALSE,0,NA,3/3/2019 18:29,FALSE,NA,1102274797965390000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",infectio01,1,TRUE,FALSE,NA,NA
21,@FrydaMonsivais Fuiste a esparcir tu influenza <U+0001F602>,FALSE,0,FrydaMonsivais,3/3/2019 18:28,FALSE,1.10227E+18,1102274538333710000,290840355,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ninamoraless,0,FALSE,FALSE,NA,NA
22,México a una década de la influenza AH1N1 :: https://t.co/KjnL1h8GTE vía @elchiltepin,FALSE,0,NA,3/3/2019 18:27,FALSE,NA,1102274425850740000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",elchiltepin,0,FALSE,FALSE,NA,NA
23,"According to Essentia Health emergency room, coughing up blood is completely normal but is cause to take a blood te… https://t.co/WYjl6t7I0B",FALSE,0,NA,3/3/2019 18:21,TRUE,NA,1102272809147990000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lyssiebabyx,0,FALSE,FALSE,NA,NA
24,"RT @censia_salud: Personal de salud, eres uno de los grupos que vacunamos contra la #influenza https://t.co/mRbbSsM1eC",FALSE,0,NA,3/3/2019 18:18,FALSE,NA,1102272065015550000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jur6camargo,6,TRUE,FALSE,NA,NA
25,@The_Octahedron It's like influenza vs RSV lol,FALSE,0,The_Octahedron,3/3/2019 18:17,FALSE,1.10226E+18,1102271779542910000,3397368454,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",lemellekh2,0,FALSE,FALSE,NA,NA
26,RT @Capital_21: ¡Nunca olvides que tu salud es primero! Éstas son las consecuencias que conlleva no aplicarse la vacuna contra la influenza…,FALSE,0,NA,3/3/2019 18:17,FALSE,NA,1102271677734500000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mijares_garcia,5,TRUE,FALSE,NA,NA
27,"A bad bout of influenza recently has me barely able to work. As I still try to save to move, any donations would be… https://t.co/1s1dhdXhyw",FALSE,0,sheenakgraham,3/3/2019 18:15,TRUE,1.10227E+18,1102271177492520000,387910949,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",sheenakgraham,0,FALSE,FALSE,NA,NA
28,@Habiibti_ @yojora Lmaoo stop lying. Are you now an influenza?,FALSE,0,Habiibti_,3/3/2019 18:09,FALSE,1.10227E+18,1102269898686950000,9.16677E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Sugaarrbaby,0,FALSE,FALSE,NA,NA
29,@Schtewee I was at the hospital today. Got diagnozed with influenza. Pharmacy was closed already.,FALSE,1,Schtewee,3/3/2019 18:06,FALSE,1.10227E+18,1102269038208730000,9.17427E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KayJayFIN,0,FALSE,FALSE,NA,NA
30,FUCK just tested pos for influenza A <U+0001F61E><U+0001F61E><U+0001F61E>,FALSE,2,NA,3/3/2019 18:04,FALSE,NA,1102268615791960000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",latteonmyscrubs,0,FALSE,FALSE,NA,NA
31,"RT @hooponopono7: Tengo influenza <U+0001F97A>
Y según Louise Hay es reacción a creencias populares negativas
Tengo que decir:
«Estoy más allá de las…",FALSE,0,NA,3/3/2019 18:03,FALSE,NA,1102268252003220000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",evelyn_guill,74,TRUE,FALSE,NA,NA
32,@iMiaSanMia I love how he tagged himself influenza but in black so it doesn’t show so much haha,FALSE,0,iMiaSanMia,3/3/2019 18:01,FALSE,1.10197E+18,1102267720232560000,618387275,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MissGracey13,0,FALSE,FALSE,NA,NA
33,"Have you had your #flushot? Even healthy people can get the flu and spread it to loved ones and friends. https://t.co/d84OeTmeG6,",FALSE,0,NA,3/3/2019 18:01,FALSE,NA,1102267684664810000,NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",WomensHealthCT,0,FALSE,FALSE,NA,NA
34,"#Nacional | Eran las 11 de la noche del 23 de abril de 2009, cuando la Secretaría de Salud informaba a la población… https://t.co/XshCED6s2y",FALSE,1,NA,3/3/2019 18:00,TRUE,NA,1102267394683130000,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",8_Columnas,0,FALSE,FALSE,NA,NA
35,RT @profvrr: New episode of the #science #podcast This Week in Virology #TWiV 537: Boundary issues https://t.co/SFx9ax209a ribosomal protei…,FALSE,0,NA,3/3/2019 17:58,FALSE,NA,1102267064931160000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ControllingLMNT,7,TRUE,FALSE,NA,NA
36,#Salud | Mantienen vacunación contra la influenza https://t.co/bPImoDxyFM https://t.co/h4mHXzX4gQ,FALSE,0,NA,3/3/2019 17:57,FALSE,NA,1102266810039180000,NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",liderweb_mx,0,FALSE,FALSE,NA,NA
37,RT @profvrr: New episode of the #science #podcast This Week in Virology #TWiV 537: Boundary issues https://t.co/SFx9ax209a ribosomal protei…,FALSE,0,NA,3/3/2019 17:53,FALSE,NA,1102265727074160000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",travelhealthdoc,7,TRUE,FALSE,NA,NA
38,"@chrisdocnee @netflix If it’s any consolation, my entire family just had influenza a last week (including my 6 mont… https://t.co/9svyYnq2Pl",FALSE,1,chrisdocnee,3/3/2019 17:53,TRUE,1.10226E+18,1102265678428620000,1335652567,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",LadyDeibs,0,FALSE,FALSE,NA,NA
39,RT @profvrr: New episode of the #science #podcast This Week in Virology #TWiV 537: Boundary issues https://t.co/SFx9ax209a ribosomal protei…,FALSE,0,NA,3/3/2019 17:52,FALSE,NA,1102265486094540000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mkrupovic,7,TRUE,FALSE,NA,NA
40,"RT @KayJayFIN: Okay I got diagnozed positive for seasonal influenza. It's extremely contagious. It's virus based, so antibiotics won't help…",FALSE,0,NA,3/3/2019 17:48,FALSE,NA,1102264607698240000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TokoGT,9,TRUE,FALSE,NA,NA
41,"RT @MissingKids: #MISSING!
Makayla was last seen on Feb. 12, 2019 in Cedar Hill, #Texas.
https://t.co/BUKe5gvIpn",FALSE,0,NA,3/3/2019 17:44,FALSE,NA,1102263464100270000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",El_Influenza,242,TRUE,FALSE,NA,NA
42,"RT @KayJayFIN: Okay I got diagnozed positive for seasonal influenza. It's extremely contagious. It's virus based, so antibiotics won't help…",FALSE,0,NA,3/3/2019 17:42,FALSE,NA,1102263036562280000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",otorium,9,TRUE,FALSE,NA,NA
43,RT @lt_gray: 13 years ago today I graduated from the academy with some awesome men and women! Some still lifelong friends.  #TimeFlies #Liv…,FALSE,0,NA,3/3/2019 17:37,FALSE,NA,1102261726165250000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",El_Influenza,17,TRUE,FALSE,NA,NA
44,@paomeza23 Ni parece que traes influenza <U+0001F92D><U+0001F602>,FALSE,1,paomeza23,3/3/2019 17:35,FALSE,1.10205E+18,1102261254180160000,8.94642E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",htrandreibl,0,FALSE,FALSE,NA,NA
45,"RT @censia_salud: Personal de salud, eres uno de los grupos que vacunamos contra la #influenza https://t.co/mRbbSsM1eC",FALSE,0,NA,3/3/2019 17:34,FALSE,NA,1102261032142200000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nina_austria,6,TRUE,FALSE,NA,NA
46,"“Crisis” of Seriously Ill Migrants Slams Border Patrol — TB, Pneumonia, Influenza, Parasites. https://t.co/wP4fZo0cw5 @MarkHerringVA",FALSE,0,NA,3/3/2019 17:34,FALSE,NA,1102260855041900000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",TLCane1,0,FALSE,FALSE,NA,NA
